#,Country,GDP,GDP (Full Value),GDP Growth,GDP per Capita
1,United States,$32.38 trillion,"$32,383,920,000,000",2.32%,"$94,430"
2,China,$20.85 trillion,"$20,851,593,000,000",4.41%,"$14,874"
3,Germany,$5.45 trillion,"$5,452,858,000,000",0.79%,"$65,303"
4,Japan,$4.38 trillion,"$4,379,253,000,000",0.72%,"$35,703"
5,United Kingdom,$4.26 trillion,"$4,264,794,000,000",0.80%,"$61,056"
6,India,$4.15 trillion,"$4,153,191,000,000",6.48%,"$2,813"
7,France,$3.6 trillion,"$3,596,094,000,000",0.86%,"$52,083"
8,Italy,$2.74 trillion,"$2,738,164,000,000",0.52%,"$46,505"
9,Russia,$2.66 trillion,"$2,656,452,000,000",1.09%,"$18,525"
10,Brazil,$2.64 trillion,"$2,635,912,000,000",1.91%,"$12,313"
11,Canada,$2.51 trillion,"$2,507,340,000,000",1.50%,"$60,305"
12,Australia,$2.12 trillion,"$2,123,963,000,000",2.01%,"$75,648"
13,Mexico,$2.12 trillion,"$2,120,855,000,000",1.64%,"$15,779"
14,Spain,$2.09 trillion,"$2,091,222,000,000",2.09%,"$41,563"
15,South Korea,$1.93 trillion,"$1,931,008,000,000",1.86%,"$37,412"
16,Turkey,$1.64 trillion,"$1,640,223,000,000",3.37%,"$19,018"
17,Indonesia,$1.54 trillion,"$1,539,872,000,000",4.95%,"$5,362"
18,Netherlands,$1.45 trillion,"$1,449,704,000,000",1.23%,"$79,918"
19,Saudi Arabia,$1.39 trillion,"$1,388,676,000,000",3.12%,"$37,811"
20,Switzerland,$1.15 trillion,"$1,146,911,000,000",1.34%,"$126,177"
21,Poland,$1.13 trillion,"$1,134,248,000,000",3.32%,"$31,336"
22,Taiwan,$976.72 billion,"$976,719,000,000",5.18%,"$42,103"
23,Ireland,$779.38 billion,"$779,381,000,000",2.52%,"$140,186"
24,Belgium,$776.73 billion,"$776,730,000,000",0.66%,"$65,112"
25,Sweden,$760.48 billion,"$760,481,000,000",1.96%,"$70,676"
26,Israel,$719.85 billion,"$719,848,000,000",3.53%,"$69,804"
27,Argentina,$688.38 billion,"$688,378,000,000",3.50%,"$14,357"
28,Singapore,$659.57 billion,"$659,572,000,000",3.51%,"$107,758"
29,Austria,$623.72 billion,"$623,719,000,000",0.68%,"$67,761"
30,United Arab Emirates,$621.55 billion,"$621,546,000,000",3.14%,"$54,214"
31,Norway,$599.41 billion,"$599,406,000,000",1.48%,"$105,877"
32,Thailand,$580 billion,"$579,996,000,000",1.50%,"$8,105"
33,Colombia,$539.53 billion,"$539,530,000,000",2.34%,"$10,104"
34,Vietnam,$527.27 billion,"$527,266,000,000",7.10%,"$5,115"
35,Malaysia,$516.43 billion,"$516,428,000,000",4.70%,"$15,085"
36,Philippines,$512.22 billion,"$512,222,000,000",4.07%,"$4,443"
37,Bangladesh,$510.7 billion,"$510,705,000,000",4.69%,"$2,911"
38,Denmark,$503.77 billion,"$503,772,000,000",2.00%,"$83,445"
39,Romania,$480.83 billion,"$480,834,000,000",0.69%,"$25,693"
40,South Africa,$479.96 billion,"$479,964,000,000",1.05%,"$7,503"
41,Hong Kong,$450.14 billion,"$450,138,000,000",2.42%,"$59,640"
42,Czech Republic (Czechia),$432.6 billion,"$432,597,000,000",2.23%,"$39,795"
43,Egypt,$429.64 billion,"$429,645,000,000",4.24%,"$3,904"
44,Chile,$407.85 billion,"$407,850,000,000",2.40%,"$20,240"
45,Pakistan,$407.79 billion (2025),"$407,786,000,000",3.09%,"$1,696"
46,Peru,$380.9 billion,"$380,900,000,000",2.82%,"$10,960"
47,Portugal,$380.64 billion,"$380,637,000,000",1.93%,"$35,434"
48,Nigeria,$377.37 billion,"$377,365,000,000",4.06%,"$1,556"
49,Kazakhstan,$360.46 billion,"$360,456,000,000",4.61%,"$17,503"
50,Finland,$337.67 billion,"$337,669,000,000",1.05%,"$60,130"
51,Algeria,$317.17 billion,"$317,173,000,000",3.78%,"$6,628"
52,Greece,$307.55 billion,"$307,554,000,000",1.80%,"$29,696"
53,Iran,$300.29 billion,"$300,293,000,000",창혞혪6.07%,"$3,415"
54,New Zealand,$278.64 billion,"$278,636,000,000",2.13%,"$52,023"
55,Hungary,$271.12 billion,"$271,122,000,000",1.66%,"$28,430"
56,Iraq,$264.78 billion,"$264,784,000,000",창혞혪6.77%,"$5,677"
57,Ukraine,$225.34 billion,"$225,337,000,000",2.00%,"$6,980"
58,Qatar,$217.42 billion,"$217,416,000,000",창혞혪8.65%,"$68,138"
59,Cuba,"$201.99 billion (UN, 2023)","$201,985,998,168",창혞혪1.93%,"$18,329"
60,Morocco,$194.33 billion,"$194,333,000,000",4.87%,"$5,107"
61,Uzbekistan,$181.5 billion,"$181,502,000,000",6.47%,"$4,661"
62,Kuwait,$172.92 billion,"$172,920,000,000",창혞혪0.56%,"$33,164"
63,Slovakia,$168.9 billion,"$168,897,000,000",0.60%,"$31,242"
64,Angola,$152.35 billion,"$152,354,000,000",2.29%,"$3,754"
65,Bulgaria,$148.12 billion,"$148,121,000,000",2.77%,"$23,848"
66,Kenya,$147.26 billion,"$147,265,000,000",4.47%,"$2,714"
67,Ecuador,$138.19 billion,"$138,194,000,000",2.51%,"$7,575"
68,Dominican Republic,$136.15 billion,"$136,148,000,000",3.72%,"$12,406"
69,Puerto Rico,$129.01 billion,"$129,012,000,000",창혞혪0.10%,"$40,650"
70,Guatemala,$128.89 billion,"$128,886,000,000",3.94%,"$6,810"
71,DR Congo,$123.41 billion,"$123,406,000,000",5.90%,"$1,122"
72,Ethiopia,$121.53 billion,"$121,527,000,000",9.20%,"$1,081"
73,Ghana,$118.29 billion,"$118,293,000,000",4.75%,"$3,314"
74,Oman,$117.18 billion,"$117,176,000,000",3.45%,"$21,645"
75,Croatia,$116.57 billion,"$116,574,000,000",2.64%,"$30,030"
76,C횄쨈te d'Ivoire,$112.11 billion,"$112,115,000,000",6.20%,"$3,313"
77,Serbia,$112.03 billion,"$112,025,000,000",2.83%,"$17,252"
78,Venezuela,$111.3 billion,"$111,303,000,000",4.04%,"$4,140"
79,Luxembourg,$110.42 billion,"$110,417,000,000",1.59%,"$158,733"
80,Costa Rica,$109.93 billion,"$109,931,000,000",3.56%,"$20,299"
81,Lithuania,$105.91 billion,"$105,907,000,000",2.91%,"$36,545"
82,Belarus,$102.04 billion,"$102,042,000,000",1.22%,"$11,286"
83,Sri Lanka,$98.96 billion (2024),"$98,964,000,000",5.01%,"$4,516"
84,Uruguay,$96.09 billion,"$96,092,000,000",1.80%,"$27,608"
85,Panama,$95.02 billion,"$95,024,000,000",3.84%,"$20,564"
86,Tanzania,$94.89 billion,"$94,889,000,000",5.94%,"$1,362"
87,Slovenia,$86.73 billion,"$86,732,000,000",2.00%,"$40,630"
88,Myanmar,$83.83 billion,"$83,832,000,000",3.00%,"$1,519"
89,Turkmenistan,$83.06 billion,"$83,065,000,000",2.60%,"$12,300"
90,Bolivia,$80.74 billion,"$80,743,000,000",창혞혪3.29%,"$6,333"
91,Azerbaijan,$78.37 billion,"$78,372,000,000",2.22%,"$7,467"
92,Uganda,$73.37 billion,"$73,370,000,000",7.51%,"$1,476"
93,Cameroon,$65.14 billion,"$65,135,000,000",3.34%,"$2,125"
94,Jordan,$64.91 billion,"$64,909,000,000",2.75%,"$5,601"
95,Tunisia,$60.74 billion,"$60,745,000,000",2.11%,"$4,893"
96,Paraguay,$60.54 billion,"$60,542,000,000",4.20%,"$9,372"
97,Zimbabwe,$56.71 billion,"$56,713,000,000",4.97%,"$3,199"
98,Macao,$54.23 billion,"$54,228,000,000",2.99%,"$76,446"
99,Latvia,$53.69 billion,"$53,686,000,000",2.22%,"$28,913"
100,Libya,$52.45 billion,"$52,453,000,000",6.72%,"$6,962"
101,Cambodia,$52.38 billion,"$52,379,000,000",4.02%,"$2,902"
102,Estonia,$51.63 billion,"$51,634,000,000",1.43%,"$37,718"
103,Bahrain,$48.85 billion,"$48,849,000,000",창혞혪0.50%,"$29,569"
104,Nepal,$45.84 billion,"$45,844,000,000",2.96%,"$1,548"
105,Cyprus,$45.17 billion,"$45,171,000,000",2.95%,"$45,409"
106,Sudan,$44.69 billion,"$44,688,000,000",0.71%,$864
107,Iceland,$43.8 billion,"$43,800,000,000",1.90%,"$110,048"
108,Georgia,$42.72 billion,"$42,716,000,000",5.31%,"$11,574"
109,Honduras,$41.51 billion,"$41,505,000,000",3.30%,"$3,711"
110,Zambia,$41.24 billion,"$41,243,000,000",4.29%,"$1,831"
111,Senegal,$40.47 billion,"$40,469,000,000",2.17%,"$2,054"
112,El Salvador,$39.84 billion,"$39,838,000,000",3.30%,"$6,196"
113,Haiti,$39.18 billion,"$39,180,000,000",창혞혪1.70%,"$3,079"
114,Bosnia and Herzegovina,$36.77 billion,"$36,771,000,000",2.20%,"$10,701"
115,Lebanon,$34.5 billion (2025),"$34,497,000,000",4.00%,"$6,443"
116,Papua New Guinea,$34.4 billion,"$34,403,000,000",3.75%,"$2,632"
117,Guyana,$33.96 billion,"$33,961,000,000",16.17%,"$33,167"
118,Mali,$33.85 billion,"$33,847,000,000",5.50%,"$1,301"
119,Albania,$33.33 billion,"$33,333,312,000",3.41%,"$12,493"
120,Burkina Faso,$32.51 billion,"$32,513,000,000",4.86%,"$1,319"
121,Armenia,$31.87 billion,"$31,873,000,000",5.30%,"$10,410"
122,Malta,$30.71 billion,"$30,712,000,000",3.70%,"$53,560"
123,Guinea,$29.93 billion,"$29,930,000,000",8.68%,"$1,848"
124,Mongolia,$28.45 billion,"$28,450,000,000",5.26%,"$7,853"
125,Benin,$27.79 billion,"$27,786,000,000",6.97%,"$1,809"
126,Trinidad and Tobago,$26.84 billion,"$26,836,000,000",0.77%,"$18,616"
127,Chad,$25.63 billion,"$25,628,000,000",5.23%,"$1,315"
128,Niger,$24.81 billion,"$24,813,000,000",6.73%,$822
129,Nicaragua,$24.23 billion,"$24,227,000,000",3.84%,"$3,559"
130,Kyrgyzstan,$23.61 billion,"$23,606,000,000",6.08%,"$3,202"
131,Gabon,$23.36 billion,"$23,363,000,000",2.67%,"$9,918"
132,Mozambique,$23.27 billion,"$23,275,000,000",0.52%,$632
133,Jamaica,$23.03 billion,"$23,028,000,000",창혞혪1.15%,"$8,356"
134,Botswana,$21.94 billion,"$21,937,000,000",4.75%,"$8,490"
135,Moldova,$21.89 billion,"$21,889,000,000",1.90%,"$9,354"
136,North Macedonia,$21.61 billion,"$21,605,000,000",3.10%,"$11,967"
137,Madagascar,$21.18 billion,"$21,185,000,000",3.64%,$656
138,Tajikistan,$20.42 billion,"$20,418,000,000",6.00%,"$1,939"
139,Syria,"$19.99 billion (WB, 2023)","$19,993,439,950",창혞혪1.21%,$847
140,Afghanistan,$19.66 billion (2025),"$19,662,000,000",3.00%,$448
141,Laos,$18.96 billion,"$18,959,000,000",4.01%,"$2,403"
142,Malawi,$18.15 billion,"$18,152,000,000",2.23%,$733
143,Rwanda,$17.34 billion,"$17,336,000,000",7.23%,"$1,198"
144,Namibia,$17.31 billion,"$17,314,000,000",2.40%,"$5,573"
145,Mauritius,$17.12 billion,"$17,119,000,000",3.40%,"$13,812"
146,Bahamas,$17.04 billion,"$17,042,000,000",2.10%,"$40,892"
147,Congo,$17.03 billion,"$17,028,000,000",2.84%,"$2,554"
148,Brunei,$16.86 billion,"$16,863,000,000",2.60%,"$36,288"
149,North Korea,"$16.45 billion (UN, 2023)","$16,446,632,290",3.06%,$640
150,Mauritania,$14.35 billion,"$14,352,000,000",4.42%,"$3,033"
151,Somalia,$14.17 billion,"$14,174,000,000",2.60%,$813
152,Equatorial Guinea,$13.72 billion,"$13,722,000,000",창혞혪2.69%,"$8,152"
153,State of Palestine,$13.71 billion (2024),"$13,711,000,000",창혞혪26.60%,"$2,443"
154,Togo,$13.44 billion,"$13,437,000,000",5.00%,"$1,341"
155,Montenegro,$10.23 billion,"$10,227,000,000",2.80%,"$16,377"
156,New Caledonia,"$10.14 billion (UN, 2023)","$10,139,988,153",창혞혪0.41%,"$34,981"
157,Monaco,"$10 billion (WB, 2023)","$9,995,350,547",5.04%,"$256,581"
158,Liechtenstein,$9.44 billion,"$9,442,000,000",창혞혪0.40%,"$226,809"
159,Bermuda,"$8.98 billion (WB, 2024)","$8,980,200,000",2.11%,"$138,935"
160,Barbados,$8.48 billion,"$8,483,000,000",2.46%,"$29,020"
161,Sierra Leone,$8.27 billion,"$8,270,000,000",4.55%,$919
162,Burundi,$8.14 billion,"$8,137,000,000",3.82%,$546
163,Maldives,$8.13 billion,"$8,130,000,000",3.02%,"$19,464"
164,Yemen,$7.43 billion,"$7,435,000,000",0.51%,$384
165,Isle of Man,"$7.43 billion (WB, 2022)","$7,431,257,411",창혞혪4.17%,"$88,329"
166,Cayman Islands,"$7.14 billion (WB, 2023)","$7,139,428,558",4.36%,"$97,750"
167,Guam,"$6.91 billion (WB, 2022)","$6,910,000,000",5.10%,"$41,833"
168,French Polynesia,"$6.4 billion (WB, 2023)","$6,402,221,222",3.00%,"$22,774"
169,Fiji,$6.35 billion,"$6,352,000,000",2.43%,"$6,802"
170,South Sudan,$6.07 billion,"$6,069,000,000",4.14%,$488
171,Suriname,$5.91 billion,"$5,908,000,000",3.93%,"$8,856"
172,Eswatini,$5.79 billion,"$5,792,000,000",4.04%,"$4,927"
173,Liberia,$5.64 billion,"$5,642,000,000",5.11%,$964
174,Andorra,$4.88 billion,"$4,879,000,000",2.10%,"$53,475"
175,Djibouti,$4.72 billion,"$4,725,000,000",6.00%,"$4,421"
176,U.S. Virgin Islands,"$4.67 billion (WB, 2022)","$4,672,000,000",창혞혪1.31%,"$44,321"
177,Aruba,$4.67 billion,"$4,671,000,000",2.25%,"$42,862"
178,Faeroe Islands,"$3.91 billion (WB, 2023)","$3,907,323,961",2.49%,"$71,774"
179,Bhutan,$3.86 billion,"$3,856,000,000",7.48%,"$4,867"
180,Central African Republic,$3.49 billion,"$3,492,000,000",2.61%,$613
181,Belize,$3.45 billion,"$3,450,000,000",2.19%,"$8,134"
182,Cabo Verde,$3.45 billion,"$3,448,000,000",4.79%,"$6,670"
183,Greenland,"$3.33 billion (WB, 2023)","$3,326,544,174",0.87%,"$58,499"
184,Cura횄짠ao,"$3.28 billion (WB, 2023)","$3,281,419,347",4.20%,"$21,062"
185,Guinea-Bissau,$2.98 billion,"$2,985,000,000",4.90%,"$1,449"
186,Lesotho,$2.97 billion,"$2,972,000,000",1.11%,"$1,241"
187,Gambia,$2.79 billion,"$2,792,000,000",5.11%,$953
188,Saint Lucia,$2.77 billion,"$2,765,000,000",1.96%,"$15,135"
189,San Marino,$2.42 billion,"$2,417,000,000",1.30%,"$70,187"
190,Antigua and Barbuda,$2.38 billion,"$2,385,000,000",2.59%,"$22,448"
191,Eritrea,"$2.28 billion (UN, 2023)","$2,275,290,216",2.80%,$656
192,Seychelles,$2.25 billion,"$2,251,000,000",1.52%,"$17,675"
193,Timor-Leste,$2.17 billion,"$2,170,000,000",4.10%,"$1,520"
194,Solomon Islands,$1.84 billion,"$1,836,000,000",2.79%,"$2,258"
195,Comoros,$1.81 billion,"$1,814,000,000",4.08%,"$1,951"
196,Turks and Caicos,"$1.75 billion (WB, 2024)","$1,745,378,000",5.64%,"$37,507"
197,Sint Maarten,"$1.74 billion (WB, 2024)","$1,735,210,228",3.50%,"$40,028"
198,British Virgin Islands,"$1.51 billion (UN, 2023)","$1,505,856,107",2.76%,"$38,627"
199,Grenada,$1.48 billion,"$1,483,000,000",3.11%,"$12,689"
200,Vanuatu,$1.4 billion,"$1,396,000,000",3.53%,"$4,082"
201,Samoa,$1.38 billion,"$1,376,000,000",3.21%,"$6,455"
202,St. Vincent & Grenadines,$1.24 billion,"$1,236,000,000",3.00%,"$11,098"
203,Sao Tome & Principe,$1.16 billion,"$1,161,000,000",3.40%,"$4,739"
204,Saint Kitts & Nevis,$1.14 billion,"$1,143,000,000",2.04%,"$22,146"
205,Northern Mariana Islands,"$1.1 billion (WB, 2022)","$1,096,000,000",16.64%,"$23,786"
206,American Samoa,"$871 million (WB, 2022)","$871,000,000",1.74%,"$18,017"
207,Dominica,$791 million,"$791,000,000",3.14%,"$10,459"
208,Tonga,$716 million,"$716,000,000",2.32%,"$7,238"
209,Saint Martin,"$649.21 million (WB, 2021)","$649,206,156",4.90%,"$21,668"
210,Micronesia,$521 million,"$521,000,000",0.67%,"$5,514"
211,Anguilla,"$415.74 million (UN, 2023)","$415,735,284",2.47%,"$28,850"
212,Kiribati,$401 million,"$401,000,000",3.10%,"$3,051"
213,Palau,$377 million,"$377,000,000",3.30%,"$21,571"
214,Cook Islands,"$366.21 million (UN, 2023)","$366,211,548",19.07%,"$25,750"
215,Marshall Islands,$342 million,"$342,000,000",3.67%,"$9,677"
216,Nauru,$196 million,"$196,000,000",2.13%,"$16,053"
217,Montserrat,"$80.43 million (UN, 2023)","$80,429,630",7.29%,"$18,197"
218,Tuvalu,$65 million,"$65,000,000",2.54%,"$6,581"
